Name,CS,CS%,GDP,GDP%,잔루,잔루%,희생번트실패,희생번트실패%,SO,ifFB%,AVG,OPS,Team,E,F%
로하스,2,1.6,5,7.5,101,31.5,0,,60,7.6,0.312,1.008,LF,0,100.0
최지훈,2,1.7,5,9.1,126,39.3,3,50.0,47,6.7,0.272,0.748,CF,7,95.9
홍창기,4,2.8,5,10.4,96,30.9,0,100.0,45,1.0,0.311,0.841,RF,5,95.8
강백호,2,1.7,3,4.3,149,48.4,0,,56,2.6,0.319,0.937,C,2,98.2
노시환,1,1.0,5,7.8,134,43.6,0,,65,3.8,0.271,0.819,3B,4,97.7
오스틴,5,4.5,3,4.5,148,48.5,0,,47,5.9,0.302,0.92,1B,4,99.1
김도영,4,3.3,1,1.3,124,41.1,2,33.3,55,6.8,0.342,0.99,3B,16,90.9
박성한,1,0.8,6,8.1,121,40.1,1,66.7,36,3.0,0.292,0.759,SS,9,97.0
김현수,2,2.1,6,7.7,138,46.6,0,,38,2.6,0.299,0.8,1B,0,100.0
양석환,0,0.0,11,18.0,141,47.6,0,,65,6.9,0.232,0.768,1B,3,99.4
손아섭,4,3.8,1,1.4,143,48.5,1,50.0,49,4.3,0.302,0.751,RF,0,100.0
구자욱,6,5.4,3,5.0,113,38.4,0,,42,2.7,0.318,0.932,LF,0,100.0
강승호,2,2.2,2,3.1,133,45.4,0,100.0,90,4.3,0.294,0.843,2B,11,96.1
안치홍,1,0.9,3,4.8,128,43.8,0,,43,8.7,0.278,0.766,2B,0,100.0
레이예스,2,1.8,8,12.1,110,37.8,0,,36,4.6,0.342,0.871,LF,0,100.0
소크라테스,4,3.9,4,6.0,117,40.5,0,,44,8.5,0.286,0.81,CF,1,97.8
정수빈,2,1.8,5,11.6,117,40.6,3,62.5,32,3.6,0.261,0.686,CF,1,99.4
김영웅,1,1.0,2,3.5,128,44.6,1,50.0,84,7.1,0.261,0.82,SS,5,96.8
박해민,2,1.9,2,2.8,120,41.8,2,66.7,51,1.9,0.274,0.69,CF,1,99.3
에레디아,3,2.5,6,9.4,115,40.4,0,,36,3.1,0.36,0.92,LF,1,98.9
도슨,3,2.6,5,6.7,111,39.1,0,,37,2.3,0.358,0.975,CF,0,100.0
문보경,1,1.0,8,12.9,128,45.6,1,50.0,50,3.0,0.282,0.802,1B,2,95.7
문성주,5,3.8,2,2.9,98,35.0,0,100.0,29,1.4,0.335,0.846,RF,1,96.8
최형우,1,1.2,1,2.1,117,42.1,0,,44,1.0,0.287,0.87,LF,1,90.0
서호철,3,2.6,10,14.7,127,45.8,1,50.0,53,5.2,0.305,0.754,3B,6,95.8
황재균,1,1.1,5,7.7,137,49.8,1,75.0,49,4.4,0.254,0.655,3B,5,96.7
김재환,1,1.4,6,9.7,117,42.7,0,,84,3.9,0.27,0.869,LF,0,100.0
박찬호,1,0.9,4,9.1,101,37.1,1,75.0,24,2.6,0.299,0.709,SS,9,96.4
맥키넌,1,0.9,6,11.3,108,39.7,0,,26,4.2,0.295,0.766,1B,3,99.1
권희동,2,1.8,5,8.9,84,30.9,1,0.0,39,3.2,0.284,0.773,LF,0,100.0
윤동희,1,0.9,3,7.5,88,32.5,0,100.0,43,3.0,0.296,0.805,RF,0,100.0
박건우,0,0.0,5,7.5,104,38.7,0,,40,3.0,0.349,0.924,CF,0,100.0
이우성,4,3.6,7,13.7,102,37.9,0,,54,2.2,0.319,0.852,LF,0,100.0
김혜성,3,2.8,2,2.5,100,37.7,0,,26,3.3,0.332,0.9,2B,7,97.6
데이비슨,3,3.7,4,6.6,128,48.5,0,,71,8.0,0.285,0.956,1B,7,98.4
양의지,5,5.3,7,10.6,91,34.6,0,,21,10.7,0.35,0.88,C,3,98.9
김지찬,1,0.9,3,6.7,85,32.3,6,45.5,19,4.3,0.299,0.741,CF,1,99.2
라모스,3,3.3,3,5.7,90,35.0,0,100.0,37,7.5,0.317,0.872,RF,4,96.1
김휘집,2,2.8,10,,0,0.0,2,50.0,63,7.2,0.215,0.66,SS,7,96.1
최정,1,1.2,7,10.1,119,47.0,0,,47,7.1,0.297,1.022,3B,6,93.3
송성문,2,1.9,2,3.3,108,43.0,0,,24,3.5,0.323,0.902,3B,1,98.8
페라자,3,3.3,4,6.8,94,37.9,0,,61,3.8,0.316,0.999,RF,7,91.4
최원준,1,1.1,5,10.2,92,37.2,0,100.0,38,1.6,0.283,0.76,CF,1,98.9
박민우,2,1.9,2,6.3,72,29.8,0,100.0,38,2.9,0.309,0.823,2B,2,99.0
김성욱,0,0.0,5,8.6,109,45.2,1,50.0,43,12.0,0.198,0.671,CF,0,100.0
허경민,2,2.1,3,6.1,72,30.3,0,,13,8.5,0.359,0.898,3B,5,95.9
한유섬,0,0.0,1,1.9,103,43.5,0,,78,6.2,0.225,0.801,LF,1,50.0
신민재,1,1.0,4,8.0,97,41.3,1,85.7,28,4.0,0.258,0.666,2B,7,97.6
최주환,0,0.0,6,11.1,124,53.0,0,,44,5.9,0.185,0.522,1B,3,99.3
고명준,0,0.0,3,7.1,97,41.6,0,,58,5.6,0.26,0.711,1B,3,99.2
김주원,2,2.7,1,2.4,105,45.3,0,100.0,60,8.7,0.205,0.65,SS,7,96.9
박동원,2,2.5,7,14.0,81,35.1,1,50.0,46,6.7,0.28,0.895,C,4,99.1
장성우,1,1.2,3,6.0,97,42.0,0,,39,8.2,0.267,0.782,C,1,99.8
김선빈,1,1.1,9,13.4,80,34.8,1,66.7,22,4.5,0.313,0.825,2B,6,97.7
천성호,2,1.9,5,11.4,81,35.5,1,50.0,37,2.9,0.297,0.726,3B,0,100.0
김형준,2,3.1,4,8.2,105,46.7,0,100.0,74,9.4,0.216,0.757,C,6,98.7
문상철,0,0.0,5,10.2,99,45.6,0,,50,8.6,0.283,0.838,1B,3,99.0
채은성,4,5.7,4,7.0,111,51.9,0,,41,7.8,0.234,0.669,RF,0,100.0
이지영,0,0.0,4,11.1,100,48.3,1,66.7,20,5.2,0.284,0.669,C,3,99.4
김태연,2,2.7,3,7.0,73,36.0,0,100.0,36,5.7,0.289,0.835,1B,4,97.8
