Name,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+,WAR,BIP,BABIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,ROE,LROB,번트안타,번트아웃,타율,시도,%,좌%,좌중%,중%,우중%,우%,당%,밀%,좌,좌중,중,우중,우,당,밀,좌_안타,좌중_안타,중_안타,우중_안타,우_안타,당_안타,밀_안타,좌_안타비율,좌중안타비율,중안타비율,우중안타비율,우안타비율,당안타비율,밀안타비율
최지훈,1.54,-0.15,69,321,318,283,51,77,13,4,5,113,27,21,2,33,1,0,47,5,3,1,0.272,0.349,0.399,0.748,-0.001,97.4,1.39,232,0.310,43.8,6.7,44.6,51.3,5.0,0.85,4.1,11.7,4,9,4,11,0.267,29,13.8,17.3,19.8,15.6,26.2,21.1,56.0,44.0,41,47,37,62,50,112,88,9,11,9,20,28,48,20,0.220,0.234,0.243,0.323,0.560,0.429,0.227
로하스,4.15,0.11,69,321,319,269,55,84,20,0,18,158,57,0,1,46,5,3,60,5,0,1,0.312,0.421,0.587,1.008,0.091,166.7,4.26,192,0.344,38.1,7.6,50.5,58.1,3.8,0.66,14.8,2.4,4,4,0,0,,0,,24.5,19.7,13.9,19.7,22.1,62.6,37.4,51,41,29,41,46,112,67,20,17,15,9,23,49,20,0.392,0.415,0.517,0.220,0.500,0.438,0.299
홍창기,2.63,0.05,68,311,310,244,49,76,4,3,3,95,34,7,8,58,6,2,45,5,1,2,0.311,0.452,0.389,0.841,0.049,135.0,2.69,198,0.369,57.6,1.0,36.5,37.4,4.9,1.54,3.9,9.2,4,3,0,1,0.000,2,0.0,17.3,17.3,28.7,24.3,12.4,51.4,48.6,35,35,58,49,25,74,70,13,8,31,12,12,24,21,0.371,0.229,0.535,0.245,0.480,0.324,0.300
강백호,3.09,-0.69,69,308,307,282,53,90,16,0,18,160,59,4,2,23,1,2,56,3,0,2,0.319,0.370,0.567,0.937,0.059,143.1,2.40,210,0.343,49.6,2.6,44.7,47.4,3.1,1.05,16.7,4.4,4,11,1,0,1.000,2,50.0,14.9,14.9,18.9,26.3,25.0,63.2,36.8,34,34,43,60,57,117,68,14,12,22,22,20,42,26,0.412,0.353,0.512,0.367,0.351,0.359,0.382
노시환,1.60,0.62,68,307,303,277,45,75,7,1,16,132,48,3,0,28,2,7,65,5,0,0,0.271,0.342,0.477,0.819,0.011,106.7,2.22,196,0.301,41.0,3.8,53.3,57.1,1.9,0.72,13.2,0.0,5,7,0,0,,0,,25.9,21.7,19.3,15.6,17.5,59.1,40.9,55,46,41,33,37,101,70,25,12,18,11,9,37,20,0.455,0.261,0.439,0.333,0.243,0.366,0.286
오스틴,2.94,-0.90,70,305,303,258,45,78,15,1,15,140,58,8,2,34,3,3,47,3,0,10,0.302,0.377,0.543,0.920,0.062,144.6,2.04,206,0.306,34.4,5.9,54.8,60.6,5.0,0.57,11.2,5.1,5,9,0,0,,0,,26.4,25.5,17.7,17.7,12.7,63.0,37.0,58,56,39,39,28,114,67,31,17,13,10,7,48,17,0.535,0.304,0.333,0.256,0.250,0.421,0.254
김도영,3.83,0.46,67,302,299,269,61,92,11,4,16,159,46,22,2,25,3,2,55,1,1,4,0.342,0.399,0.591,0.990,0.072,152.5,4.29,202,0.376,38.8,6.8,51.1,58.0,3.2,0.67,12.6,14.1,5,6,3,1,0.750,8,37.5,34.4,18.8,19.3,12.4,15.1,65.9,34.1,75,41,42,27,33,116,60,34,19,18,11,10,53,21,0.453,0.463,0.429,0.407,0.303,0.457,0.350
박성한,1.09,0.58,69,302,298,264,40,77,13,0,4,102,32,7,2,34,1,2,36,6,2,1,0.292,0.373,0.386,0.759,-0.002,96.7,1.67,225,0.324,52.4,3.0,41.6,44.6,3.0,1.17,3.9,5.2,1,12,0,4,0.000,8,0.0,14.8,17.4,16.5,31.7,19.6,61.1,38.9,34,40,38,73,45,118,75,12,13,19,12,21,33,25,0.353,0.325,0.500,0.164,0.467,0.280,0.333
김현수,1.53,-0.74,68,296,296,264,36,79,15,2,6,116,41,2,1,26,2,1,38,6,0,4,0.299,0.361,0.439,0.800,0.012,107.4,0.79,224,0.326,42.6,2.6,50.0,52.6,4.8,0.81,5.0,2.5,1,5,0,0,,1,0.0,12.7,19.3,16.7,28.9,22.4,61.6,38.4,29,44,38,66,51,117,73,9,12,11,20,27,47,21,0.310,0.273,0.290,0.303,0.529,0.402,0.288
양석환,1.36,-0.94,72,296,296,267,40,62,14,0,16,124,49,3,2,25,3,0,65,11,0,1,0.232,0.304,0.464,0.768,0.006,102.4,0.43,187,0.246,32.5,6.9,56.7,63.5,3.9,0.51,12.4,6.5,2,8,0,0,,1,0.0,43.5,20.5,17.0,9.5,9.5,77.1,22.9,87,41,34,19,19,128,38,31,14,6,5,6,45,11,0.356,0.342,0.177,0.263,0.316,0.352,0.290
손아섭,0.94,0.31,66,295,294,278,39,84,13,0,7,118,45,6,2,12,0,0,49,1,1,4,0.302,0.327,0.424,0.751,-0.009,91.5,1.25,226,0.341,57.3,4.3,33.3,37.6,5.1,1.52,8.0,8.3,5,9,1,2,0.333,7,14.3,26.6,18.0,15.0,16.7,23.6,47.5,52.5,62,42,35,39,55,94,104,25,14,13,9,23,32,39,0.403,0.333,0.371,0.231,0.418,0.340,0.375
구자욱,2.83,0.15,66,294,293,261,40,83,21,1,12,142,50,4,4,23,8,1,42,3,0,2,0.318,0.388,0.544,0.932,0.055,140.0,2.98,209,0.340,46.2,2.7,48.0,50.7,3.2,0.91,10.7,6.0,5,6,0,0,,0,,13.6,13.6,16.7,25.8,30.3,67.4,32.6,30,30,37,57,67,124,60,8,7,17,14,37,51,15,0.267,0.233,0.460,0.246,0.552,0.411,0.250
강승호,1.73,0.60,72,293,290,272,42,80,17,6,10,139,43,11,3,16,1,2,90,2,1,3,0.294,0.332,0.511,0.843,0.017,111.0,2.33,175,0.400,37.1,4.3,56.5,60.8,2.2,0.61,8.8,3.8,0,5,0,1,0.000,5,0.0,26.3,18.3,21.0,15.6,18.8,56.5,43.5,49,34,39,29,35,83,64,29,11,18,11,11,40,22,0.592,0.324,0.462,0.379,0.314,0.482,0.344
안치홍,1.34,-0.86,68,292,292,259,36,72,11,0,8,107,32,3,1,27,4,0,43,3,0,2,0.278,0.353,0.413,0.766,0.007,103.6,0.49,210,0.305,39.9,8.7,49.5,58.3,1.8,0.69,6.3,2.8,5,10,0,0,,2,0.0,21.3,27.3,14.4,19.0,18.1,56.8,43.2,46,59,31,41,39,105,80,21,20,11,10,10,41,20,0.457,0.339,0.355,0.244,0.256,0.391,0.250
레이예스,2.51,-0.39,67,291,291,266,36,91,16,2,7,132,57,4,0,17,1,0,36,8,0,7,0.342,0.375,0.496,0.871,0.044,131.7,2.12,230,0.365,51.5,4.6,41.8,46.4,2.1,1.11,6.4,11.0,9,4,0,0,,0,,20.4,17.4,19.6,22.1,20.4,54.7,45.3,48,41,46,52,48,104,86,18,10,21,16,26,44,26,0.375,0.244,0.457,0.308,0.542,0.423,0.302
소크라테스,1.70,-0.97,69,289,288,266,37,76,12,1,12,126,45,4,1,18,3,2,44,4,0,2,0.286,0.336,0.474,0.810,0.021,114.0,0.73,212,0.302,43.3,8.5,45.1,53.6,3.1,0.81,10.0,6.6,5,9,0,2,0.000,3,0.0,15.8,17.6,20.3,19.4,27.0,58.4,41.6,35,39,45,43,60,104,74,9,9,23,11,24,35,18,0.257,0.231,0.511,0.256,0.400,0.337,0.243
정수빈,0.90,0.40,66,288,283,245,47,64,8,3,2,84,18,25,3,29,4,1,32,5,5,5,0.261,0.343,0.343,0.686,-0.021,82.9,1.29,216,0.287,54.7,3.6,38.6,42.2,3.1,1.30,2.1,12.5,7,8,2,8,0.200,15,13.3,15.4,16.7,18.6,19.9,29.4,60.8,39.2,34,37,41,44,65,110,71,17,8,11,9,19,28,25,0.500,0.216,0.268,0.205,0.292,0.255,0.352
박해민,0.52,0.55,71,287,283,248,37,68,6,5,1,87,32,25,6,22,6,0,51,2,4,7,0.274,0.339,0.351,0.690,-0.033,73.2,1.07,203,0.330,41.8,1.9,52.4,54.3,3.8,0.77,0.9,11.8,0,5,2,8,0.200,20,10.0,19.3,18.4,11.6,25.1,25.6,57.4,42.6,40,38,24,52,53,105,78,11,9,11,12,25,37,20,0.275,0.237,0.458,0.231,0.472,0.352,0.256
김영웅,1.35,0.97,68,287,286,249,37,65,9,2,13,117,36,7,1,33,2,0,84,2,1,2,0.261,0.350,0.470,0.820,0.003,100.5,2.32,154,0.338,42.9,7.1,48.2,55.4,1.8,0.77,14.0,4.6,6,7,0,3,0.000,3,0.0,18.6,10.2,15.6,23.4,32.3,66.0,34.0,31,17,26,39,54,93,48,8,4,11,13,29,42,12,0.258,0.235,0.423,0.333,0.537,0.452,0.250
에레디아,2.46,-0.32,66,285,282,258,39,93,14,1,8,133,50,3,3,15,7,3,36,6,0,5,0.360,0.404,0.516,0.920,0.049,135.3,2.14,219,0.388,43.2,3.1,50.2,53.3,3.5,0.81,6.6,9.7,3,6,2,2,0.500,10,20.0,23.3,18.1,20.3,22.5,15.9,51.9,48.1,53,41,46,51,36,94,87,26,14,21,17,15,40,32,0.491,0.342,0.457,0.333,0.417,0.426,0.368
