Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,BIP,BABIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,좌%,좌중%,중%,우중%,우%,당%,밀%,좌,좌중,중,우중,우,당,밀,좌_안타,좌중_안타,중_안타,우중_안타,우_안타,당_안타,밀_안타,좌_안타비율,좌중안타비율,중안타비율,우중안타비율,우안타비율,당안타비율,밀안타비율
최지강,38,0,38,2,0,0,2,0,1,12,33.1,8,9,14.70,153,30,2,2,3,18,6,2,31,2,0,3,2.16,2.43,3.97,4.07,5.09,1.44,0.91,94,0.287,57.1,6.1,34.7,40.8,2.0,1.4,7.5,10.0,22.4,23.5,15.3,18.4,20.4,65.1,34.9,22,23,15,18,20,54,29,6,5,5,6,8,18,7,0.273,0.217,0.333,0.333,0.400,0.333,0.241
이병헌,38,0,38,4,0,0,5,0,0,6,35.1,10,14,14.10,153,33,4,1,2,19,1,1,30,1,1,0,2.55,3.57,3.59,3.74,4.42,1.47,1.19,100,0.310,53.4,5.8,37.9,43.7,2.9,1.2,4.4,9.1,20.4,30.1,17.5,14.6,17.5,49.4,50.6,21,31,18,15,18,42,43,7,10,6,4,6,10,17,0.333,0.323,0.333,0.267,0.333,0.238,0.395
노경은,37,0,37,4,0,0,5,3,0,17,40.2,11,13,18.50,167,32,2,0,8,16,2,2,31,1,0,0,2.43,2.88,4.09,4.01,5.86,1.18,1.19,110,0.218,50.8,4.2,41.5,45.8,3.4,1.1,14.8,9.4,20.5,17.1,23.1,21.4,17.9,67.8,32.2,24,20,27,25,21,61,29,8,4,9,3,8,16,7,0.333,0.200,0.333,0.120,0.381,0.262,0.241
장현식,37,0,37,2,0,0,1,2,0,8,33.2,19,25,20.90,157,34,8,0,5,21,2,1,36,4,0,3,5.08,6.68,5.59,5.79,5.32,1.63,0.18,93,0.312,50.0,5.1,43.9,49.0,1.0,1.0,10.4,5.9,23.5,17.3,18.4,26.5,14.3,58.8,41.3,23,17,18,26,14,47,33,8,9,3,8,6,21,10,0.348,0.529,0.167,0.308,0.429,0.447,0.303
조병현,37,0,37,7,0,0,2,2,0,10,35.0,14,14,13.00,140,26,7,0,4,12,2,0,40,0,0,2,3.60,3.60,3.34,3.25,3.94,1.09,1.19,82,0.268,39.5,7.0,51.2,58.1,2.3,0.7,8.0,7.7,22.1,19.8,18.6,19.8,19.8,50.0,50.0,19,17,16,17,17,35,35,5,7,4,7,3,13,9,0.263,0.412,0.250,0.412,0.176,0.371,0.257
한두솔,37,0,37,4,0,0,0,1,0,2,30.2,17,24,18.70,149,33,4,1,1,18,3,1,34,5,0,0,4.99,7.04,5.49,5.24,3.84,1.66,0.38,91,0.352,50.0,5.3,39.4,44.7,5.3,1.1,2.4,12.1,19.1,27.7,18.1,18.1,17.0,53.2,46.8,18,26,17,17,16,41,36,8,4,9,4,8,13,11,0.444,0.154,0.529,0.235,0.500,0.317,0.306
김재열,37,0,37,3,0,0,1,1,0,7,39.1,7,7,10.25,152,24,7,1,2,13,0,2,41,1,0,0,1.60,1.60,2.35,2.43,3.15,0.94,1.50,95,0.232,32.7,11.2,52.0,63.3,4.1,0.5,3.2,0.0,21.6,14.4,18.6,26.8,18.6,58.2,41.8,21,14,18,26,18,46,33,9,1,3,4,7,14,7,0.429,0.071,0.167,0.154,0.389,0.304,0.212
김상수,36,0,36,4,0,0,2,0,1,10,36.1,15,15,20.70,152,31,4,1,2,11,2,0,25,1,1,3,3.72,3.72,5.13,5.03,4.25,1.16,0.59,109,0.266,52.6,2.6,43.0,45.6,1.8,1.2,3.8,9.7,15.8,16.7,22.8,22.8,21.9,55.7,44.3,18,19,26,26,25,49,39,6,5,10,5,5,13,8,0.333,0.263,0.385,0.192,0.200,0.265,0.205
전미르,36,0,36,6,0,0,1,5,1,5,33.2,22,28,22.50,155,33,10,0,4,21,1,2,34,4,0,3,5.88,7.49,6.01,5.63,5.02,1.60,0.35,92,0.315,52.5,2.0,43.4,45.5,2.0,1.2,8.9,0.0,25.3,25.3,12.1,16.2,21.2,55.2,44.8,25,25,12,16,21,48,39,10,7,3,4,9,20,10,0.400,0.280,0.250,0.250,0.429,0.417,0.256
최지민,35,0,35,2,0,0,2,2,2,9,28.1,10,11,13.05,135,21,5,0,0,27,2,0,20,2,0,5,3.18,3.49,4.15,4.16,5.61,1.69,0.78,85,0.247,43.0,4.7,48.8,53.5,3.5,0.8,0.0,14.3,22.1,19.8,18.6,20.9,18.6,61.4,38.6,19,17,16,18,16,43,27,10,4,2,2,3,12,7,0.526,0.235,0.125,0.111,0.188,0.279,0.259
