Name,Team,Position,Pitching/Batting Style,Birth
윌커슨 (Aaron Wilkerson),롯데,P,우투우타,"생년월일 :
1989년 05월 24일"
네일 (James Aubrey Naile),KIA,P,우투우타,"생년월일 :
1993년 02월 08일"
쿠에바스 (William Enrique Cuevas Osorio),KT,P,우투우타,"생년월일 :
1990년 10월 14일"
양현종 (Hyeon-Jong Yang),KIA,P,좌투좌타,"생년월일 :
1988년 03월 01일"
곽빈 (Been Gwak),두산,P,우투우타,"생년월일 :
1999년 05월 28일"
반즈 (Charlie Barnes),롯데,P,좌투좌타,"생년월일 :
1995년 10월 01일"
하트 (Kyle Patrick Hart),NC,P,좌투좌타,"생년월일 :
1992년 11월 23일"
원태인 (Tae-In Won),삼성,P,우투우타,"생년월일 :
2000년 04월 06일"
후라도 (Ariel Bolívar Jurado Agrazal),키움,P,우투우타,"생년월일 :
1996년 01월 30일"
헤이수스 (Enmanuel Jose De Jesus),키움,P,좌투좌타,"생년월일 :
1996년 12월 10일"
오원석 (Won-Seok Oh),SSG,P,좌투좌타,"생년월일 :
2001년 04월 23일"
최원태 (Won-Tae Choi),LG,P,우투우타,"생년월일 :
1997년 01월 07일"
레예스 (Denyi Reyes),,P,우투우타,"생년월일 :
1996년 11월 02일"
브랜든 (Brandon David Waddell),두산,P,좌투좌타,"생년월일 :
1994년 06월 03일"
손주영 (Joo-Young Son),LG,P,좌투좌타,"생년월일 :
1998년 12월 02일"
신민혁 (Min-Hyuk Shin),NC,P,우투우타,"생년월일 :
1999년 02월 04일"
주현상 (Hyun-Sang Ju),한화,P,우투우타,"생년월일 :
1992년 08월 10일"
류현진 (Hyun-Jin Ryu),한화,P,좌투우타,"생년월일 :
1987년 03월 25일"
김광현 (Kwang-Hyun Kim),SSG,P,좌투좌타,"생년월일 :
1988년 07월 22일"
김인범 (In-Beom Kim),키움,P,우투우타,"생년월일 :
2000년 01월 12일"
황준서 (Jun-seo Hwang),,P,좌투좌타,"생년월일 :
2005년 08월 22일"
산체스 (Ricardo Jose Sánchez),한화,P,좌투좌타,"생년월일 :
1997년 04월 11일"
김원중 (Won-Joong Kim),롯데,P,우투좌타,"생년월일 :
1993년 06월 14일"
엄상백 (Sang-baek Eom ),KT,P,우언우타,"생년월일 :
1996년 10월 04일"
임찬규 (Chan-Gyu Im),LG,P,우투우타,"생년월일 :
1992년 11월 20일"
오승환 (Seung-Hwan Oh),삼성,P,우투우타,"생년월일 :
1982년 07월 15일"
김재열 (Jae-Yeol Kim ),NC,P,우투우타,"생년월일 :
1996년 01월 02일"
카스타노 (Daniel Alexander Castano),NC,P,좌투좌타,"생년월일 :
1994년 09월 17일"
벤자민 (Wes Benjamin),KT,P,좌투우타,"생년월일 :
1993년 07월 26일"
이승현 (Seung-Hyun Lee),삼성,P,좌투좌타,"생년월일 :
2002년 05월 19일"
윤영철 (Young-Cheol Yoon),KIA,P,좌투좌타,"생년월일 :
2004년 04월 20일"
박세웅 (Se-Woong Park),롯데,P,우투우타,"생년월일 :
1995년 11월 30일"
김시훈 (Si-Hoon Kim),NC,P,우투우타,"생년월일 :
1999년 02월 24일"
