Name,Team,Position,Pitching/Batting Style,Birth
김도영 (Do-Yeong Kim),KIA,3B,우투우타,"생년월일 :
2003년 10월 02일"
로하스 (Mel Rojas Jr),KT,CF,우투양타,"생년월일 :
1990년 05월 24일"
김혜성 (Hye-Sung Kim),키움,2B,우투좌타,"생년월일 :
1999년 01월 27일"
도슨 (Ronnie Dawson),키움,CF,우투좌타,"생년월일 :
1995년 05월 19일"
박동원 (Dong-Won Park),LG,C,우투우타,"생년월일 :
1990년 04월 07일"
홍창기 (Chang-Ki Hong),LG,RF,우투좌타,"생년월일 :
1993년 11월 21일"
허경민 (Kyeong-Min Heo),두산,3B,우투우타,"생년월일 :
1990년 08월 26일"
구자욱 (Ja-Wook Koo),삼성,RF,우투좌타,"생년월일 :
1993년 02월 12일"
문성주 (Sung-Ju Moon),LG,RF,좌투좌타,"생년월일 :
1997년 02월 20일"
송성문 (Sung-Moon Song),키움,3B,우투좌타,"생년월일 :
1996년 08월 29일"
박민우 (Min-Woo Park),NC,2B,우투좌타,"생년월일 :
1993년 02월 06일"
최정 (Jeong Choi),SSG,3B,우투우타,"생년월일 :
1987년 02월 28일"
김영웅 (Yeong-Woong Kim),삼성,3B,우투좌타,"생년월일 :
2003년 08월 24일"
강백호 (Baek-Ho Kang),KT,1B,우투좌타,"생년월일 :
1999년 07월 29일"
장성우 (Sung-Woo Jang),KT,C,우투우타,"생년월일 :
1990년 01월 17일"
노시환 (Si-Hwan Roh),한화,3B,우투우타,"생년월일 :
2000년 12월 03일"
페라자 (Yonathan Jesús Perlaza),한화,RF,우투양타,"생년월일 :
1998년 11월 10일"
박건우 (Geon-Woo Park),NC,RF,우투우타,"생년월일 :
1990년 09월 08일"
에레디아 (Guillermo Heredia Molina),SSG,LF,좌투우타,"생년월일 :
1991년 01월 31일"
오스틴 (Austin James Dean),LG,1B,우투우타,"생년월일 :
1993년 10월 14일"
강승호 (Seung-Ho Kang),두산,2B,우투우타,"생년월일 :
1994년 02월 09일"
양의지 (Eui-Ji Yang),두산,C,우투우타,"생년월일 :
1987년 06월 05일"
권희동 (Hui-Dong Kwon),NC,LF,우투우타,"생년월일 :
1990년 12월 30일"
이성규 (Sung-Gyu Lee),삼성,1B,우투우타,"생년월일 :
1993년 08월 03일"
김주원 (Ju-Won Kim),NC,SS,우투양타,"생년월일 :
2002년 07월 30일"
김지찬 (Ji-Chan Kim),삼성,2B,우투좌타,"생년월일 :
2001년 03월 08일"
박성한 (Sung-Han Park),SSG,SS,우투좌타,"생년월일 :
1998년 03월 30일"
문상철 (Sang-Cheol Moon),KT,1B,우투우타,"생년월일 :
1991년 04월 06일"
레이예스 (Víctor José Reyes),롯데,RF,우투양타,"생년월일 :
1994년 10월 05일"
김선빈 (Sun-Bin Kim),KIA,SS,우투우타,"생년월일 :
1989년 12월 18일"
고승민 (Seung-Min Go),롯데,2B,우투좌타,"생년월일 :
2000년 08월 11일"
최재훈 (Jae-Hun Choi),한화,C,우투우타,"생년월일 :
1989년 08월 27일"
라모스 (Henry Ramos),두산,RF,우투양타,"생년월일 :
1992년 04월 15일"
황성빈 (Seong-Bin Hwang),롯데,CF,우투좌타,"생년월일 :
1997년 12월 19일"
최인호 (In-Ho Choi),한화,LF,우투좌타,"생년월일 :
2000년 01월 30일"
박찬호 (Chan-Ho Park),KIA,SS,우투우타,"생년월일 :
1995년 06월 05일"
윤동희 (Dong-Hee Yoon),롯데,RF,우투우타,"생년월일 :
2003년 09월 18일"
이도윤 (Do-Yun Lee),한화,SS,우투좌타,"생년월일 :
1996년 10월 07일"
오지환 (Ji-Hwan Oh),LG,SS,우투좌타,"생년월일 :
1990년 03월 12일"
구본혁 (Bon-Hyuk Koo),LG,3B,우투우타,"생년월일 :
1997년 01월 11일"
최지훈 (Ji-Hoon Choi),SSG,CF,우투좌타,"생년월일 :
1997년 07월 23일"
신본기 (Bon-Ki Shin),KT,SS,우투우타,"생년월일 :
1989년 03월 21일"
정수빈 (Soo-Bin Jeong),두산,CF,좌투좌타,"생년월일 :
1990년 10월 07일"
박준영 (Jun-Young Park),두산,SS,우투우타,"생년월일 :
1997년 08월 05일"
이지영 (Ji-Young Lee),SSG,C,우투우타,"생년월일 :
1986년 02월 27일"
전준우 (Jun-Woo Jeon),롯데,CF,우투우타,"생년월일 :
1986년 02월 25일"
박지환 (Ji-hwan Park),SSG,SS,우투우타,"생년월일 :
2005년 07월 12일"
최원준 (Won-Jun Choi),KIA,CF,우투좌타,"생년월일 :
1997년 03월 23일"
손호영 (Ho-Young Son),롯데,3B,우투우타,"생년월일 :
1994년 08월 23일"
손아섭 (Ah-Sub Son),NC,RF,우투좌타,"생년월일 :
1988년 03월 18일"
이우성 (Woo-Sung Lee),KIA,RF,우투우타,"생년월일 :
1994년 07월 17일"
김형준 (Hyung-Jun Kim),NC,C,우투우타,"생년월일 :
1999년 11월 02일"
조수행 (Su-Haeng Cho),두산,RF,우투좌타,"생년월일 :
1993년 08월 30일"
데이비슨 (Matthew Glen Davidson),NC,1B,우투우타,"생년월일 :
1991년 03월 26일"
이용규 (Yong-Gyu Lee),키움,LF,좌투좌타,"생년월일 :
1985년 08월 26일"
배정대 (Jeong-Dae Bae),KT,CF,우투우타,"생년월일 :
1995년 06월 12일"
나승엽 (Seung-Yeop Na),롯데,3B,우투좌타,"생년월일 :
2002년 02월 15일"
박해민 (Hae-Min Park),LG,CF,우투좌타,"생년월일 :
1990년 02월 24일"
최형우 (Hyung-Woo Choi),KIA,LF,우투좌타,"생년월일 :
1983년 12월 16일"
맥키넌 (David MacKinnon),,1B,우투우타,"생년월일 :
1994년 12월 15일"
이재현 (Jae-Hyeon Lee),삼성,SS,우투우타,"생년월일 :
2003년 02월 04일"
이형종 (Hyeong-Jong Lee),키움,LF,우투우타,"생년월일 :
1989년 06월 07일"
황영묵 (Young-mook Hwang),한화,SS,우투좌타,"생년월일 :
1999년 10월 16일"
오태곤 (Tae-Gon Oh),SSG,SS,우투우타,"생년월일 :
1991년 11월 18일"
이유찬 (Yu-Chan Lee),두산,2B,우투우타,"생년월일 :
1998년 08월 05일"
이주형 (Ju-Hyeong Lee),키움,CF,우투좌타,"생년월일 :
2001년 04월 02일"
서호철 (Ho-Cheol Seo),NC,2B,우투우타,"생년월일 :
1996년 10월 16일"
김현수 (Hyun-Soo Kim),LG,LF,우투좌타,"생년월일 :
1988년 01월 12일"
강민호 (Min-Ho Kang),삼성,C,우투우타,"생년월일 :
1985년 08월 18일"
신민재 (Min-Jae Shin),LG,2B,우투좌타,"생년월일 :
1996년 01월 21일"
류지혁 (Ji-Hyeok Ryu),삼성,SS,우투좌타,"생년월일 :
1994년 01월 13일"
한준수 (Jun-Soo Han),KIA,C,우투좌타,"생년월일 :
1999년 02월 13일"
김재환 (Jae-Hwan Kim),두산,LF,우투좌타,"생년월일 :
1988년 09월 22일"
김태군 (Tae-Kun Kim),KIA,C,우투우타,"생년월일 :
1989년 12월 30일"
황재균 (Jae-Gyun Hwang),KT,3B,우투우타,"생년월일 :
1987년 07월 28일"
김기연 (Ki-Yeon Kim),두산,C,우투우타,"생년월일 :
1997년 09월 07일"
소크라테스 (Sócrates Orel Brito),KIA,CF,좌투좌타,"생년월일 :
1992년 09월 06일"
박상언 (Sang-Un Park),한화,C,우투우타,"생년월일 :
1997년 03월 03일"
김태연 (Tae-Yeon Kim),한화,3B,우투우타,"생년월일 :
1997년 06월 10일"
